Team,Year,Player,Salary
BOS,1991,Robert Parish,2500000
BOS,1991,Larry Bird,1500000
BOS,1991,Kevin McHale,1400000
BOS,1991,Brian Shaw,1212000
BOS,1991,Joe Kleine,850000
BOS,1991,Ed Pinckney,750000
BOS,1991,John Bagley,550000
BOS,1991,Dee Brown,547000
BOS,1991,Michael Smith,525000
BOS,1991,Reggie Lewis,400000
BOS,1991,Kevin Gamble,375000
BOS,1991,Derek Smith,315000
BOS,1991,Stojko Vrankovic,222000
BOS,1991,Dave Popson,80000
BOS,1991,A.J. Wynder,30000
PHI,1991,Charles Barkley,2900000
PHI,1991,Johnny Dawkins,1500000
PHI,1991,Rick Mahorn,1330000
PHI,1991,Manute Bol,1300000
PHI,1991,Armen Gilliam,1200000
PHI,1991,Hersey Hawkins,1000000
PHI,1991,Jayson Williams,500000
PHI,1991,Brian Oliver,455000
PHI,1991,Ron Anderson,425000
PHI,1991,Dave Hoppen,400000
PHI,1991,Kenny Payne,400000
PHI,1991,Rickey Green,120000
PHI,1991,Andre Turner,110000
NYK,1991,Patrick Ewing,4250000
NYK,1991,Mark Jackson,1785000
NYK,1991,Charles Oakley,1050000
NYK,1991,Kiki Vandeweghe,1025000
NYK,1991,Maurice Cheeks,1000000
NYK,1991,Kenny Walker,875000
NYK,1991,Trent Tucker,835000
NYK,1991,Gerald Wilkins,725000
NYK,1991,Jerrod Mustaf,565000
NYK,1991,Eddie Lee Wilkins,400000
NYK,1991,Brian Quinnett,360000
NYK,1991,Greg Grant,300000
NYK,1991,John Starks,120000
WSB,1991,Pervis Ellison,2300000
WSB,1991,Bernard King,1600000
WSB,1991,John Williams,1000000
WSB,1991,Tom Hammonds,800000
WSB,1991,Charles Jones,675000
WSB,1991,Darrell Walker,610000
WSB,1991,Ledell Eackles,605000
WSB,1991,Mark Alarie,500000
WSB,1991,Harvey Grant,475000
WSB,1991,Byron Irvin,375000
WSB,1991,A.J. English,275000
WSB,1991,Greg Foster,275000
WSB,1991,Haywoode Workman,120000
NJN,1991,Derrick Coleman,2100000
NJN,1991,Sam Bowie,2000000
NJN,1991,Roy Hinson,1250000
NJN,1991,Drazen Petrovic,1200000
NJN,1991,Chris Dudley,950000
NJN,1991,Reggie Theus,765000
NJN,1991,Chris Morris,750000
NJN,1991,Terry Mills,600000
NJN,1991,Mookie Blaylock,525000
NJN,1991,Tate George,410000
NJN,1991,Jack Haley,360000
NJN,1991,Jud Buechler,225000
NJN,1991,Derrick Gervin,155000
NJN,1991,Kurk Lee,120000
MIA,1991,Willie Burton,2000000
MIA,1991,Alec Kessler,1600000
MIA,1991,Glen Rice,1550000
MIA,1991,Rony Seikaly,755000
MIA,1991,Kevin Edwards,425000
MIA,1991,Billy Thompson,400000
MIA,1991,Jon Sundvold,335000
MIA,1991,Sherman Douglas,325000
MIA,1991,Grant Long,300000
MIA,1991,Bimbo Coles,290000
MIA,1991,Terry Davis,250000
MIA,1991,Keith Askins,150000
MIA,1991,Alan Ogg,130000
CHI,1991,Michael Jordan,2500000
CHI,1991,Bill Cartwright,1100000
CHI,1991,Horace Grant,1000000
CHI,1991,Stacey King,1000000
CHI,1991,Dennis Hopson,915000
CHI,1991,Scottie Pippen,765000
CHI,1991,Cliff Levingston,750000
CHI,1991,Craig Hodges,600000
CHI,1991,Will Perdue,450000
CHI,1991,B.J. Armstrong,425000
CHI,1991,John Paxson,385000
CHI,1991,Scott Williams,150000
DET,1991,Isiah Thomas,2720000
DET,1991,Bill Laimbeer,1510000
DET,1991,Vinnie Johnson,1400000
DET,1991,Mark Aguirre,1115000
DET,1991,Joe Dumars,1035000
DET,1991,James Edwards,935000
DET,1991,Dennis Rodman,880000
DET,1991,William Bedford,850000
DET,1991,Tree Rollins,800000
DET,1991,John Salley,575000
DET,1991,Scott Hastings,450000
DET,1991,Lance Blanks,365000
DET,1991,John Long,150000
DET,1991,Gerald Henderson,125000
MIL,1991,Jack Sikma,1600000
MIL,1991,Danny Schayes,1500000
MIL,1991,Brad Lohaus,1275000
MIL,1991,Dale Ellis,1250000
MIL,1991,Frank Brickowski,905000
MIL,1991,Lester Conner,900000
MIL,1991,Alvin Robertson,870000
MIL,1991,Fred Roberts,690000
MIL,1991,Jay Humphries,650000
MIL,1991,Jeff Grayer,605000
MIL,1991,Larry Krystkowiak,605000
MIL,1991,Adrian Dantley,400000
MIL,1991,Frank Kornet,225000
MIL,1991,Steve Henson,120000
ATL,1991,Moses Malone,2406000
ATL,1991,Dominique Wilkins,2065000
ATL,1991,Jon Koncak,1550000
ATL,1991,Doc Rivers,895000
ATL,1991,Rumeal Robinson,800000
ATL,1991,Tim McCormick,775000
ATL,1991,Kevin Willis,685000
ATL,1991,Alexander Volkov,650000
ATL,1991,John Battle,590000
ATL,1991,Sidney Moncrief,510000
ATL,1991,Spud Webb,510000
ATL,1991,Gary Leonard,200000
ATL,1991,Duane Ferrell,125000
IND,1991,Chuck Person,2150000
IND,1991,LaSalle Thompson,2000000
IND,1991,Rik Smits,1350000
IND,1991,Detlef Schrempf,1160000
IND,1991,George McCloud,940000
IND,1991,Mike Sanders,760000
IND,1991,Vern Fleming,667000
IND,1991,Reggie Miller,654000
IND,1991,Randy Wittman,500000
IND,1991,Micheal Williams,325000
IND,1991,Greg Dreiling,300000
IND,1991,Kenny Williams,175000
CLE,1991,Hot Rod Williams,3785000
CLE,1991,Danny Ferry,2640000
CLE,1991,Mark Price,1400000
CLE,1991,Brad Daugherty,1320000
CLE,1991,Larry Nance,1260000
CLE,1991,Craig Ehlo,925000
CLE,1991,Chucky Brown,630000
CLE,1991,Steve Kerr,548000
CLE,1991,Winston Bennett,525000
CLE,1991,Derrick Chievous,525000
CLE,1991,John Morton,350000
CLE,1991,Milos Babic,200000
CLE,1991,Gerald Paddio,120000
CLE,1991,Darnell Valentine,100000
CLE,1991,Henry James,75000
CHH,1991,Mike Gminski,1650000
CHH,1991,Kendall Gill,1500000
CHH,1991,J.R. Reid,1250000
CHH,1991,Johnny Newman,1200000
CHH,1991,Kelly Tripucka,1000000
CHH,1991,Dell Curry,900000
